,Census_Name_2016,Tot_P_P
LGA10050,Albury (C),51076
LGA10130,Armidale Regional (A),29449
LGA10250,Ballina (A),41790
LGA10300,Balranald (A),2287
LGA10470,Bathurst Regional (A),41300
LGA10550,Bega Valley (A),33253
LGA10600,Bellingen (A),12668
LGA10650,Berrigan (A),8462
LGA10750,Blacktown (C),336962
LGA10800,Bland (A),5955
LGA10850,Blayney (A),7257
LGA10900,Blue Mountains (C),76904
LGA10950,Bogan (A),2692
LGA11100,Botany Bay (C),46654
LGA11150,Bourke (A),2634
LGA11200,Brewarrina (A),1651
LGA11250,Broken Hill (C),17708
LGA11300,Burwood (A),36809
LGA11350,Byron (A),31556
LGA11400,Cabonne (A),13386
LGA11450,Camden (A),78218
LGA11500,Campbelltown (C) (NSW),157006
LGA11520,Canada Bay (A),88015
LGA11570,Canterbury-Bankstown (A),346302
LGA11600,Carrathool (A),2719
LGA11650,Central Coast (C) (NSW),327736
LGA11700,Central Darling (A),1833
LGA11720,Cessnock (C),55560
LGA11730,Clarence Valley (A),50671
LGA11750,Cobar (A),4647
LGA11800,Coffs Harbour (C),72944
LGA12000,Coolamon (A),4315
LGA12150,Coonamble (A),3918
LGA12350,Cowra (A),12460
LGA12380,Cumberland (A),216079
LGA12700,Dungog (A),8975
LGA12730,Edward River (A),8851
LGA12750,Eurobodalla (A),37232
LGA12850,Fairfield (C),198817
LGA12870,Federation (A),12277
LGA12900,Forbes (A),9587
LGA12930,Georges River (A),146841
LGA12950,Gilgandra (A),4236
LGA13010,Glen Innes Severn (A),8836
LGA13310,Goulburn Mulwaree (A),29609
LGA13340,Greater Hume Shire (A),10351
LGA13450,Griffith (C),25641
LGA13510,Gundagai (A),11141
LGA13550,Gunnedah (A),12215
LGA13660,Gwydir (A),5258
LGA13800,Hawkesbury (C),64592
LGA13850,Hay (A),2946
LGA13910,Hilltops (A),18498
LGA14000,Hornsby (A),142667
LGA14100,Hunters Hill (A),13999
LGA14170,Inner West (A),182043
LGA14200,Inverell (A),16483
LGA14300,Junee (A),6295
LGA14350,Kempsey (A),28885
LGA14400,Kiama (A),21464
LGA14500,Ku-ring-gai (A),118053
LGA14550,Kyogle (A),8940
LGA14600,Lachlan (A),6194
LGA14650,Lake Macquarie (C),197371
LGA14700,Lane Cove (A),36051
LGA14750,Leeton (A),11168
LGA14850,Lismore (C),43135
LGA14870,Lithgow (C),21090
LGA14900,Liverpool (C),204326
LGA14920,Liverpool Plains (A),7687
LGA14950,Lockhart (A),3119
LGA15050,Maitland (C),77305
LGA15240,Mid-Coast (A),90303
LGA15270,Mid-Western Regional (A),24076
LGA15300,Moree Plains (A),13159
LGA15350,Mosman (A),28475
LGA15520,Murray River (A),11680
LGA15560,Murrumbidgee (A),3836
LGA15650,Muswellbrook (A),16086
LGA15700,Nambucca (A),19212
LGA15750,Narrabri (A),13084
LGA15800,Narrandera (A),5853
LGA15850,Narromine (A),6444
LGA15900,Newcastle (C),155411
LGA15950,North Sydney (A),67658
LGA15990,Northern Beaches (A),252878
LGA16100,Oberon (A),5301
LGA16150,Orange (C),40344
LGA16200,Parkes (A),14608
LGA16260,Parramatta (C),226149
LGA16350,Penrith (C),196066
LGA16380,Port Macquarie-Hastings (A),78539
LGA16400,Port Stephens (A),69556
LGA16490,Queanbeyan-Palerang Regional (A),56027
LGA16550,Randwick (C),140660
LGA16610,Richmond Valley (A),22807
LGA16650,Rockdale (C),109404
LGA16700,Ryde (C),116302
LGA16900,Shellharbour (C),68460
LGA16950,Shoalhaven (C),99650
LGA17000,Singleton (A),22987
LGA17040,Snowy Monaro Regional (A),20218
LGA17080,Snowy Valleys (A),14395
LGA17100,Strathfield (A),40312
LGA17150,Sutherland Shire (A),218464
LGA17200,Sydney (C),208374
LGA17310,Tamworth Regional (A),59663
LGA17350,Temora (A),6110
LGA17400,Tenterfield (A),6628
LGA17420,The Hills Shire (A),157243
LGA17550,Tweed (A),91371
LGA17620,Upper Hunter Shire (A),14112
LGA17640,Upper Lachlan Shire (A),7695
LGA17650,Uralla (A),6048
LGA17750,Wagga Wagga (C),62385
LGA17850,Walcha (A),3092
LGA17900,Walgett (A),6107
LGA17950,Warren (A),2732
LGA18020,Warrumbungle Shire (A),9384
LGA18050,Waverley (A),66812
LGA18100,Weddin (A),3664
LGA18200,Wentworth (A),6794
LGA18230,Western Plains Regional (A),50077
LGA18250,Willoughby (C),74302
LGA18350,Wingecarribee (A),47882
LGA18400,Wollondilly (A),48519
LGA18450,Wollongong (C),203630
LGA18500,Woollahra (A),54240
LGA18710,Yass Valley (A),16142
LGA19399,Unincorporated NSW,1056
LGA19499,No usual address (NSW),12288
LGA19799,Migratory - Offshore - Shipping (NSW),412
